50	0.302
100	0.592
150	0.895
200	1.176
250	1.486
300	1.769
350	2.052
400	2.363
450	2.67
500	2.959
550	3.242
600	3.538
650	3.827
700	4.134
750	4.414
800	4.722
850	5.006
900	5.29
950	5.59
1000	5.907
1050	6.187
1100	6.476
1150	6.773
1200	7.073
1250	7.38
1300	7.695
1350	7.957
1400	8.254
1450	8.556
1500	8.859
1550	9.142
1600	9.438
1650	9.718
1700	10.021
1750	10.296
1800	10.603
1850	10.879
1900	11.184
1950	11.48
2000	11.759
2050	12.063
2100	12.378
2150	12.662
2200	12.928
2250	13.235
2300	13.527
2350	13.834
2400	14.14
2450	14.432
2500	14.758
